num_queries = 64
blowup_factor = 64
grinding_factor = 0
Trace built in 283.203µs
row |   nonce | current |   stack |    nei0 |    nei1 |    nei2 |    nei3 |    nei4 |    nei5 |   valid |     ret |    call |
236 |     123 |     252 |     245 |     253 |     254 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
237 |     123 |     253 |     245 |     245 |     260 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
238 |     123 |     245 |      52 |      45 |     260 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
239 |     123 |      45 |     260 |      46 |      47 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
240 |     123 |      46 |      47 |      81 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
241 |     123 |      81 |      47 |      47 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
242 |     123 |      47 |     260 |     246 |     247 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
243 |     123 |     246 |     260 |      83 |     134 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
244 |     123 |      83 |     134 |     118 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
245 |     123 |     118 |     134 |     134 |      84 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
246 |     123 |     134 |     260 |     287 |     251 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
247 |     123 |     251 |     260 |      42 |     142 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
248 |     123 |      42 |     142 |      43 |      44 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
249 |     123 |      43 |     142 |      33 |      68 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
250 |     123 |      33 |      68 |      34 |      35 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
251 |     123 |      34 |      68 |      67 |      68 |      69 |       0 |       0 |       0 |       1 |       0 |       0 |
252 |     123 |      68 |     142 |     142 |     131 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
253 |     123 |     142 |     260 |     276 |     277 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
